"","Scientific.Name","Latitude","Longitude","Country"
"264","Adelges tsugae",39.714075,-79.366541,"US"
"265","Adelges tsugae",35.634227,-83.746644,"US"
"266","Adelges tsugae",39.573027,-75.005715,"US"
"267","Adelges tsugae",39.522178,-79.110801,"US"
"268","Adelges tsugae",35.495851,-82.605223,"US"
"269","Adelges tsugae",42.653339,-72.546618,"US"
"270","Adelges tsugae",42.556207,-72.41766,"US"
"271","Adelges tsugae",47.391853,-122.451359,"US"
"272","Adelges tsugae",42.365794,-72.702394,"US"
"273","Adelges tsugae",39.647992,-78.397625,"US"
"274","Adelges tsugae",42.446422,-71.090194,"US"
"275","Adelges tsugae",40.688591,-74.880652,"US"
"276","Adelges tsugae",34.437497,-84.28453,"US"
"277","Adelges tsugae",37.345905,-82.98915,"US"
"278","Adelges tsugae",42.118996,-71.389106,"US"
"279","Adelges tsugae",42.307823,-72.470202,"US"
"280","Adelges tsugae",41.646302,-71.757517,"US"
"281","Adelges tsugae",42.411222,-76.636927,"US"
"282","Adelges tsugae",42.12225,-73.508263,"US"
"283","Adelges tsugae",35.454365,-83.844942,"US"
"284","Adelges tsugae",43.059318,-71.167263,"US"
"285","Adelges tsugae",42.683281,-73.237529,"US"
"286","Adelges tsugae",42.318618,-72.664616,"US"
"287","Adelges tsugae",42.31684,-72.521385,"US"
"288","Adelges tsugae",47.530036,-122.118729,"US"
"289","Adelges tsugae",42.678895,-72.344161,"US"
"290","Adelges tsugae",43.93325,-69.889694,"US"
"291","Adelges tsugae",42.68776,-73.238181,"US"
"292","Adelges tsugae",42.964877,-70.982043,"US"
"293","Adelges tsugae",42.408871,-72.61164,"US"
"294","Adelges tsugae",42.758562,-72.247626,"US"
"295","Adelges tsugae",42.592152,-72.365778,"US"
"296","Adelges tsugae",34.667733,-83.365425,"US"
"297","Adelges tsugae",42.963292,-70.980375,"US"
"298","Adelges tsugae",35.67254,-83.525576,"US"
"299","Adelges tsugae",41.98289,-73.923439,"US"
"300","Adelges tsugae",42.643981,-72.36985,"US"
"301","Adelges tsugae",41.070282,-80.688939,"US"
"302","Adelges tsugae",42.639243,-71.111799,"US"
"303","Adelges tsugae",42.455173,-71.696449,"US"
"304","Adelges tsugae",42.937103,-72.286117,"US"
"305","Adelges tsugae",40.696053,-77.258598,"US"
"306","Adelges tsugae",38.995768,-76.889811,"US"
"307","Adelges tsugae",39.989385,-75.194498,"US"
"308","Adelges tsugae",37.270472,-80.488239,"US"
"309","Adelges tsugae",43.247203,-77.487153,"US"
"310","Adelges tsugae",43.245731,-77.487618,"US"
"311","Adelges tsugae",43.247047,-77.487158,"US"
"312","Adelges tsugae",42.568375,-77.399995,"US"
"313","Adelges tsugae",42.62167,-77.419442,"US"
"314","Adelges tsugae",42.622045,-77.4197,"US"
"315","Adelges tsugae",42.62363,-77.41925,"US"
